Unnamed: 0,state/uts,"no_of_tb_-_diabetes-tb_patients_with_known_dm_status,_of_notified)-public","percentage__of_tb_-_diabetes-tb_patients_with_known_dm_status,of_notified)-public","no_of_tb_-_diabetes-tb_patients_with_known_dm_status,_of_notified)-private","percentage__of_tb_-_diabetes-tb_patients_with_known_dm_status,_of_notified)-private","no_of_tb_-_diabetes-tb_patients_with_known_dm_status,of_notified)-total","percentage_of_tb_-_diabetes-tb_patients_with_known_dm_status,__of_notified)-total","no_of_tb_-_diabetes-patients_diagnosed_among_tested,of_those_with_known_dm_status)-public","percentage_of_tb_-_diabetes-_patients_diagnosed_among_tested,of_those_with_known_dm_status)-public","no_of_tb_-_diabetes-_patients_diagnosed_among_tested,_of_those_with_known_dm_status)-private","percentage__of_tb_-_diabetes-patients_diagnosed_among_tested,__of_those_with_known_dm_status)-private","no_of_tb_-_diabetes-patients_diagnosed_among_tested,_of_those_with_known_dm_status)-total","percentage__of_tb_-_diabetes-__patients_diagnosed_among_tested,_of_those_with_known_dm_status)-total","no_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-public","percentage_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-public","no_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-private","percentage_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-private","no_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)0total","percentage_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,of_tb-dm)0total","no_of_tobacco-tb_patients_with_known_tobacco_usage_status,_of_notified)-public","%_of_tobacco-tb_patients_with_known_tobacco_usage_status,_of_notified)-public","no_of_tobacco-tb_patients_with_known_tobacco_usage_status,of_notified)-private","%_of_tobacco-tb_patients_with_known_tobacco_usage_status,__of_notified)-private","no_of_tobacco-tb_patients_with_known_tobacco_usage_status,__of_notified)-total","%_of_tobacco-tb_patients_with_known_tobacco_usage_status,_of_notified)-total","no_of_tobacco_users_identified_amongst_screened,__of_those_with_known_tobacco_usage_status)-public","percentage_of_tobacco_users_identified_amongst_screened,__of_those_with_known_tobacco_usage_status)-public","no_of_tobacco_users_identified_amongst_screened,of_those_with_known_tobacco_usage_status)-private","percentage_of_tobacco_users_identified_amongst_screened,__of_those_with_known_tobacco_usage_status)-private","no_of_tobacco_users_identified_amongst_screened,of_those_with_known_tobacco_usage_status)-total","percentage__of_tobacco_users_identified_amongst_screened,_of_those_with_known_tobacco_usage_status)-total","no_of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-public","percentage__of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-public","no_of_tobacco_users_linked_with_tobacco_cessation_centres,of_tobacco_users)-private","percentage__of_tobacco_users_linked_with_tobacco_cessation_centres,_n_(%_of_tobacco_users)-private","no_of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-total","percentage__of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-total","_no_of_tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,_of_notified)-public","%_of__tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,_of_notified)-public","no_of__tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,__of_notified)-private","%_of__tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,__of_notified)-private","_no_of_tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,__of_notified)-total","%_of_tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,_of_notified)-total","no_of_tb_-_alcohol-alcohol_users_identified_amongst_screened,_of_those_with_known_alcohol_usage_status)-public","percentage__of_tb_-_alcohol-alcohol_users_identified_amongst_screened,of_those_with_known_alcohol_usage_status)-public","no_of_tb_-_alcohol-alcohol_users_identified_amongst_screened,_of_those_with_known_alcohol_usage_status)-private","percentage__of_tb_-_alcohol-alcohol_users_identified_amongst_screened,_of_those_with_known_alcohol_usage_status)-private","no_of_tb_-_alcohol-alcohol_users_identified_amongst_screened,__of_those_with_known_alcohol_usage_status)-total","percentage__of_tb_-_alcohol-alcohol_users_identified_amongst_screened,__of_those_with_known_alcohol_usage_status)-total","no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,_of_alcohol_users)-public","percentage__of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,__of_alcohol_users)-public","no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,__of_alcohol_users)-private","percentage__of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,__of_alcohol_users)-private","no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,_of_alcohol_users)-total","percentage__of_no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,_of_alcohol_users)-total",latitude,longitude,timestamp,region
841,Karnataka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467.0,96.2,2.0,100.0,1469.0,96.2,320.0,21.8,0.0,0.0,320.0,21.8,315.0,98.4,0.0,0.0,315.0,98.4,22.2587,71.1924,2023-06-21,South
842,Gujarat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40121.0,84.1,7502.0,76.4,47623.0,82.8,1531.0,3.8,72.0,1.0,1603.0,3.4,280.0,18.3,6.0,8.3,286.0,17.8,29.0588,76.0856,2023-02-20,West
843,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104335.0,79.3,28427.0,73.6,132762.0,78.0,3343.0,3.2,450.0,1.6,3793.0,2.9,1071.0,32.0,191.0,42.4,1262.0,33.3,31.1048,77.1734,2023-06-22,North East
844,Meghalaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.0,73.5,48.0,64.9,1031.0,73.0,60.0,6.1,2.0,4.2,62.0,6.0,4.0,6.7,1.0,50.0,5.0,8.1,33.7782,76.5762,2023-09-14,North East
845,Karnataka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71063.0,90.8,12009.0,68.0,83072.0,86.6,16475.0,23.2,979.0,8.2,17454.0,21.0,3754.0,22.8,170.0,17.4,3924.0,22.5,23.6102,85.2799,2023-01-31,South
846,West Bengal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50793.0,93.1,16883.0,90.4,67676.0,92.4,7172.0,14.1,871.0,5.2,8043.0,11.9,3827.0,53.4,474.0,54.4,4301.0,53.5,15.3173,75.7139,2023-03-11,East
847,Madhya Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2177.0,66.9,32.0,80.0,2209.0,67.0,495.0,22.7,0.0,0.0,495.0,22.4,72.0,14.5,0.0,0.0,72.0,14.5,10.8505,76.2711,2023-06-05,Central
848,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291692.0,69.6,56031.0,48.0,347723.0,64.9,9876.0,3.4,506.0,0.9,10382.0,3.0,2846.0,28.8,76.0,15.0,2922.0,28.1,34.1526,77.577,2023-11-27,North East
849,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21322.0,93.9,4180.0,89.9,25502.0,93.2,1645.0,7.7,106.0,2.5,1751.0,6.9,610.0,37.1,21.0,19.8,631.0,36.0,10.328,72.7846,2023-04-14,North East
850,Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79395.0,84.6,6058.0,75.7,85453.0,83.9,10784.0,13.6,587.0,9.7,11371.0,13.3,3814.0,35.4,218.0,37.1,4032.0,35.5,22.9734,78.6569,2023-05-25,South
851,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448433.0,78.1,348682.0,61.4,1797115.0,74.2,121545.0,8.4,8068.0,2.3,129613.0,7.2,40900.0,33.7,2535.0,31.4,43435.0,33.5,19.7515,75.7139,2023-03-28,South
852,Kerala,518.0,95.2,3.0,75.0,521.0,95.1,97.0,18.7,1.0,33.3,98.0,18.8,69.0,71.1,1.0,100.0,70.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6637,93.9063,2023-05-14,South
853,Telangana,65235.0,98.7,26883.0,99.6,92118.0,98.9,8816.0,13.5,2940.0,10.9,11756.0,12.8,6282.0,71.3,1671.0,56.8,7953.0,67.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.467,91.3662,2023-11-01,South
854,Andhra Pradesh,2378.0,79.0,3.0,50.0,2381.0,79.0,59.0,2.5,0.0,0.0,59.0,2.5,28.0,47.5,0.0,0.0,28.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1645,92.9376,2023-04-25,South
855,Andhra Pradesh,34011.0,81.0,4929.0,83.2,38940.0,81.2,2554.0,7.5,499.0,10.1,3053.0,7.8,1003.0,39.3,179.0,35.9,1182.0,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1584,94.5624,2023-02-28,South
856,Uttarakhand,53768.0,66.1,74114.0,87.7,127882.0,77.1,3062.0,5.7,3801.0,5.1,6863.0,5.4,1489.0,48.6,811.0,21.3,2300.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9517,85.0985,2023-07-11,North
857,Tamil Nadu,3531.0,94.9,47.0,73.4,3578.0,94.6,316.0,8.9,5.0,10.6,321.0,9.0,248.0,78.5,5.0,100.0,253.0,78.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9416,79.8083,2023-07-17,South
858,Arunachal Pradesh,26987.0,91.6,8243.0,88.8,35230.0,91.0,2473.0,9.2,639.0,7.8,3112.0,8.8,1184.0,47.9,155.0,24.3,1339.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1471,75.3412,2023-07-01,North East
859,Arunachal Pradesh,838.0,99.2,76.0,100.0,914.0,99.2,56.0,6.7,3.0,3.9,59.0,6.5,46.0,82.1,2.0,66.7,48.0,81.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0238,74.2179,2023-03-03,North East
860,Kerala,65700.0,84.2,5628.0,55.0,71328.0,80.8,5323.0,8.1,621.0,11.0,5944.0,8.3,2661.0,50.0,168.0,27.1,2829.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.532,88.5122,2023-11-23,South
861,Himachal Pradesh,1659.0,98.9,288.0,72.7,1947.0,93.9,332.0,20.0,45.0,15.6,377.0,19.4,300.0,90.4,25.0,55.6,325.0,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1271,78.6569,2023-02-13,North
862,Uttarakhand,106333.0,97.8,35899.0,90.9,142232.0,96.0,5343.0,5.0,1250.0,3.5,6593.0,4.6,4304.0,80.6,991.0,79.3,5295.0,80.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1124,79.0193,2023-04-02,North
863,Bihar,58171.0,95.0,15853.0,91.1,74024.0,94.1,4463.0,7.7,837.0,5.3,5300.0,7.2,3357.0,75.2,560.0,66.9,3917.0,73.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9408,91.9882,2023-04-03,East
864,Sikkim,15885.0,99.1,455.0,97.2,16340.0,99.0,1484.0,9.3,27.0,5.9,1511.0,9.2,1136.0,76.5,21.0,77.8,1157.0,76.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8467,80.9462,2023-05-03,North East
865,Meghalaya,10855.0,95.4,552.0,94.8,11407.0,95.4,729.0,6.7,40.0,7.2,769.0,6.7,378.0,51.9,31.0,77.5,409.0,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0668,79.0193,2023-02-13,North East
866,Rajasthan,42246.0,90.0,9644.0,83.8,51890.0,88.8,2305.0,5.5,648.0,6.7,2953.0,5.7,1266.0,54.9,260.0,40.1,1526.0,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9868,87.855,2023-05-11,North
867,West Bengal,64615.0,95.9,10593.0,90.0,75208.0,95.0,9616.0,14.9,975.0,9.2,10591.0,14.1,7379.0,76.7,742.0,76.1,8121.0,76.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5937,78.9629,2023-10-03,East
868,Haryana,19388.0,94.1,2557.0,88.2,21945.0,93.3,6376.0,32.9,770.0,30.1,7146.0,32.6,4163.0,65.3,446.0,57.9,4609.0,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.667,92.735,2023-08-16,North
869,Maharashtra,306.0,91.6,9.0,81.8,315.0,91.3,7.0,2.3,1.0,11.1,8.0,2.5,6.0,85.7,1.0,100.0,7.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9129,79.74,2023-08-16,West
870,Meghalaya,21.0,95.5,0.0,0.0,21.0,95.5,5.0,23.8,0.0,0.0,5.0,23.8,4.0,80.0,0.0,0.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.218,94.7278,2023-05-12,North East
871,Bihar,125381.0,89.8,46026.0,93.5,171407.0,90.7,6816.0,5.4,3221.0,7.0,10037.0,5.9,2983.0,43.8,1196.0,37.1,4179.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2006,92.9376,2023-06-19,East
872,Maharashtra,148268.0,97.3,73877.0,95.5,222145.0,96.7,9416.0,6.4,4376.0,5.9,13792.0,6.2,6493.0,69.0,2543.0,58.1,9036.0,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0961,85.3131,2023-11-22,West
873,Himachal Pradesh,1808.0,76.3,143.0,55.6,1951.0,74.3,275.0,15.2,11.0,7.7,286.0,14.7,129.0,46.9,2.0,18.2,131.0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7333,76.7794,2023-01-06,North
874,Maharashtra,3646.0,78.6,165.0,51.2,3811.0,76.8,216.0,5.9,4.0,2.4,220.0,5.8,142.0,65.7,3.0,75.0,145.0,65.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2787,81.8661,2023-02-21,West
875,Sikkim,2056.0,98.6,20.0,100.0,2076.0,98.6,129.0,6.3,6.0,30.0,135.0,6.5,125.0,96.9,6.0,100.0,131.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7041,77.1025,2023-08-28,North East
876,Karnataka,3165.0,83.2,349.0,93.6,3514.0,84.1,175.0,5.5,20.0,5.7,195.0,5.5,86.0,49.1,2.0,10.0,88.0,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2993,74.124,2023-12-01,South
877,Mizoram,53597.0,96.5,4141.0,94.2,57738.0,96.3,4047.0,7.6,274.0,6.6,4321.0,7.5,3105.0,76.7,211.0,77.0,3316.0,76.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2587,71.1924,2023-04-25,North East
878,Andhra Pradesh,1510.0,99.0,2.0,100.0,1512.0,99.0,464.0,30.7,0.0,0.0,464.0,30.7,445.0,95.9,0.0,0.0,445.0,95.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0588,76.0856,2023-06-19,South
879,Haryana,43665.0,91.5,9006.0,91.8,52671.0,91.5,4930.0,11.3,676.0,7.5,5606.0,10.6,2266.0,46.0,170.0,25.1,2436.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1048,77.1734,2023-03-14,North
880,Karnataka,119170.0,90.5,34317.0,88.8,153487.0,90.1,3484.0,2.9,1208.0,3.5,4692.0,3.1,2276.0,65.3,538.0,44.5,2814.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7782,76.5762,2023-12-07,South
881,Bihar,1305.0,97.5,71.0,95.9,1376.0,97.5,118.0,9.0,4.0,5.6,122.0,8.9,106.0,89.8,3.0,75.0,109.0,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6102,85.2799,2023-11-16,East
882,Odisha,76635.0,97.9,16054.0,90.8,92689.0,96.6,20196.0,26.4,3655.0,22.8,23851.0,25.7,19144.0,94.8,3179.0,87.0,22323.0,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3173,75.7139,2023-07-27,East
883,Telangana,51411.0,94.3,17215.0,92.2,68626.0,93.7,3250.0,6.3,892.0,5.2,4142.0,6.0,2691.0,82.8,738.0,82.7,3429.0,82.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8505,76.2711,2023-05-22,South
884,Tripura,3078.0,94.6,34.0,85.0,3112.0,94.4,473.0,15.4,6.0,17.6,479.0,15.4,182.0,38.5,0.0,0.0,182.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1526,77.577,2023-06-18,North East
885,Kerala,390088.0,93.0,100893.0,86.5,490981.0,91.6,21480.0,5.5,1968.0,2.0,23448.0,4.8,8161.0,38.0,670.0,34.0,8831.0,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.328,72.7846,2023-09-05,South
886,Chhattisgarh,21948.0,96.6,4339.0,93.3,26287.0,96.1,1741.0,7.9,231.0,5.3,1972.0,7.5,670.0,38.5,121.0,52.4,791.0,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9734,78.6569,2023-11-13,Central
